CP3,CPZ,CP4,PO3,POZ,PO4,taskID,stimID
2.761207473278046,0.3649227797985077,3.1482373595237734,19.950875186920168,19.07453269958496,18.462072086334228,0.0,-1.0
4.33890688419342,2.9385312080383303,6.419776439666748,19.984815216064455,19.478063964843752,18.336435699462893,0.0,-1.0
3.774086129665375,4.681411385536194,7.030679440498353,24.92839765548706,21.171592712402344,21.18529329299927,0.0,-1.0
3.063856673240662,0.5859937191009522,1.4011539816856384,12.831613111495972,14.805215692520143,18.440432739257812,0.0,-1.0
4.571498322486877,4.63766405582428,3.8176774978637695,17.79699010848999,19.4439697265625,17.076953601837157,0.0,-1.0
1.4207702100276947,1.6570980906486512,0.5850596398115159,13.610498428344727,14.396546459198,15.276159381866456,0.0,-1.0
0.9126183092594147,2.3237361788749697,4.385612225532532,15.740875625610352,16.48691239356995,15.243932676315309,0.0,-1.0
-1.0851158738136293,3.6749156355857853,5.816813206672669,14.514554500579834,16.64446406364441,18.78527240753174,0.0,-1.0
-0.5764970272779465,2.3036529421806335,2.7166818380355835,14.453993368148804,16.261793088912963,17.360297870635986,0.0,-1.0
1.79503390789032,8.35741674900055,7.819684982299805,24.943654346466065,24.794976711273193,18.22138566970825,0.0,-1.0
-2.1479690551757815,2.936351752281189,2.040702956914902,18.27151565551758,15.756755161285401,14.573869943618774,0.0,-1.0
0.5431807190179825,3.3490694761276245,5.419663596153259,17.908615493774416,19.898099613189697,16.256188488006593,0.0,-1.0
-0.9359708547592164,4.9437381505966185,9.88249454498291,19.239246082305907,22.956817817687988,20.460896873474123,0.0,-1.0
-1.7905191600322725,3.5947383999824525,8.12980706691742,20.82223892211914,21.878863906860353,21.48887701034546,0.0,-1.0
0.6752005755901337,6.165077519416809,12.073899507522583,21.73267765045166,22.96553764343262,19.170432758331298,0.0,-1.0
-1.6765586078166963,4.456448292732239,9.645387983322143,16.199675846099854,19.679052543640136,20.407186031341553,0.0,-1.0
-0.11567304655909538,4.327386260032654,8.840658617019654,20.196856784820557,18.645623016357423,19.07530975341797,0.0,-1.0
-0.18464095517992973,4.524793481826783,9.559918069839478,19.77635450363159,19.401001453399658,17.89834156036377,0.0,-1.0
-2.2160028219223022,1.1073786914348602,3.5606436610221865,17.014212512969973,13.66810154914856,10.157432413101196,0.0,-1.0
-0.2462917372584343,5.759988641738892,6.4426619768142706,23.43632411956787,21.589447402954104,8.795666599273682,0.0,-1.0
-0.8458299815654755,3.3577877998352053,5.891852474212647,15.11580491065979,17.283235359191895,10.921528673171997,0.0,-1.0
0.20705942139029504,5.119816946983337,10.926199007034302,11.575711870193482,16.56444253921509,13.84293465614319,0.0,-1.0
-1.606967979669571,5.253237891197204,11.384843015670777,9.832364559173584,18.83026342391968,12.875982284545898,0.0,-1.0
-5.526618647575378,0.7384081721305847,6.05609872341156,3.74217084646225,6.7527840614318855,5.86227285861969,0.0,-1.0
-1.9641065776348114,3.8148751974105837,7.980506086349488,7.633954095840455,11.905761480331421,6.318737411499024,0.0,-1.0
-2.194207262992859,0.9233605027198792,2.6273193955421448,10.615764999389649,13.623264741897584,6.641937232017518,0.0,-1.0
-1.309144949913025,2.056115609407425,3.176571786403656,4.714571857452393,6.049248933792114,2.9095741868019105,0.0,-1.0
0.9298991829156876,3.947050702571869,7.6700725793838505,8.918812608718872,13.18158974647522,7.426116228103638,0.0,-1.0
-0.955119949579239,1.6692414343357087,2.271270525455475,8.980307006835938,12.456414270401002,6.535605025291443,0.0,-1.0
-3.206774497032166,2.389278817176819,5.369377899169922,4.55779824256897,12.734310150146484,5.471506404876709,0.0,-1.0
-4.596252393722534,-0.6767573744058609,1.971423625946045,2.367950141429901,10.46864447593689,5.277991461753845,0.0,-1.0
-3.7649009227752686,0.6854756981134414,5.050537490844727,7.419265937805176,12.560411310195922,9.34196047782898,0.0,-1.0
-7.862808966636658,0.6906132280826569,5.425423908233642,1.4543978154659272,7.705257296562195,6.759945273399353,0.0,-1.0
-5.77789192199707,0.41505295336246495,3.8349584341049194,4.390593981742859,7.306083941459656,7.273702025413513,0.0,-1.0
-5.950078439712525,2.548232138156891,7.81703839302063,-1.6279852330684663,5.409544372558594,4.5568639755249025,0.0,-1.0
-7.713819909095765,2.1825309276580813,4.946073818206787,-3.722710454463959,3.3557638049125673,1.6684630036354067,0.0,-1.0
-5.91691746711731,2.679940509796143,4.409742951393127,1.0466620355844498,7.162543773651123,1.450817084312439,0.0,-1.0
-6.8150575160980225,1.8244581878185273,6.873750114440918,0.6728652834892274,6.729742813110352,0.12875048518180848,0.0,-1.0
-9.50293779373169,-0.1503905363380909,2.1640045523643496,0.1751442477107048,3.732674217224121,-3.4350067734718324,0.0,-1.0
-10.078188943862916,1.1998548567295075,4.198013055324554,-1.1414734303951264,3.584618926048279,-3.5411832690238954,0.0,-1.0
-8.217768359184266,-1.1582873582839965,1.1685624182224275,2.3245144844055177,5.685883140563965,-0.9918613404035569,0.0,-1.0
-8.780876541137696,0.2276096820831299,0.612304276227951,4.89858992099762,8.183206486701966,-2.9249868392944336,0.0,-1.0
-6.002855014801026,3.0179301381111148,2.320622456073761,7.132496523857117,8.189589643478394,-3.4773529529571534,0.0,-1.0
-4.915092301368714,-0.10617633908987045,-0.22293917611241343,1.1674726903438568,3.860646271705628,-2.2135119438171387,0.0,-1.0
-2.1596453905105593,3.3328782677650453,2.1605794072151183,6.749047493934632,8.3401358127594,-3.136872446537018,0.0,-1.0
-2.331831657886505,3.29784951210022,-0.11349347345530987,3.981612575054169,6.81801552772522,-0.32491204887628555,0.0,-1.0
